   dur cens   sp   rc  ed ben  wage    a1   a2   a3     a4 lapse
   14    1    1    1   12 4.99 5.10    1    0     0     0     0
   17    1    0    0   10 3.92 4.33    1    0     0     0     0
    2    1    1    1   12 4.99 5.88    0    0     1     0     0
    5    1    1    1   12 4.87 5.84    0    0     0     1     0
    6    0    1    1   16 4.90 5.28    0    0     0     1     0
    2    1    1    1   12 4.52 4.66    0    1     0     0     0
    3    1    1    1   12 4.52 5.70    0    0     0     0     0
    1    1    1    1   12 4.99 5.45    0    0     1     0     0
    7    1    1    1   11 4.87 5.30    0    0     0     0     0
    3    1    0    1   17 4.87 5.21    0    1     0     0     0
   28    0    1    1   12 4.54 4.91    0    0     0     1     0
   12    1    0    0   12 4.61 4.89    0    1     0     0     0
    6    1    1    1   10 4.98 5.24    0    0     1     0     0
    2    1    0    0   16 4.61 4.86    0    0     1     0     0
    3    1    0    0   12 3.67 3.79    1    0     0     0     0
    8    0    1    1   12 4.70 4.82    0    1     0     0     0
   17    0    1    1   12 4.96 5.02    0    0     1     0     0
   24    1    0    1   12 4.69 4.89    0    1     0     0     0
    4    1    1    1    7 4.49 4.95    0    0     0     0     0
   26    1    1    0   10 3.35 3.55    0    1     0     0     0
    7    1    0    1   12 4.45 4.64    1    0     0     0     0
   21    1    1    1   13 4.87 5.42    0    1     0     0     0
    2    1    1    1   12 4.87 5.24    0    0     0     1     0
    2    1    1    1   12 4.61 5.39    0    0     1     0     0
   14    1    1    1   12 4.79 5.30    0    0     0     1     0
   19    0    0    1   12 4.72 5.10    0    1     0     0     0
   26    0    1    0   11 4.87 5.30    0    1     0     0     0
    1    1    1    1   12 4.80 5.41    0    0     0     1     0
   28    0    1    1    3 4.34 4.49    0    0     0     1     0
   18    1    0    0   11 4.40 4.56    1    0     0     0     0
   21    1    0    1    8 4.98 5.19    0    1     0     0     0
    2    1    1    1   11 4.37 5.18    0    0     0     0     0
    8    0    0    1   12 4.60 4.72    1    0     0     0     0
    4    1    1    1   12 3.98 4.25    1    0     0     0     0
   29    1    0    0   12 4.15 4.51    0    1     0     0     0
    5    1    1    1   14 4.61 5.41    0    1     0     0     0
    5    1    1    1   10 4.73 4.88    0    0     0     1     0
    5    1    1    1    8 4.70 5.49    0    0     0     0     0
    4    1    1    1   11 4.47 4.68    0    1     0     0     0
   33    1    1    1   12 4.79 5.58    0    1     0     0     0
    6    1    1    1   12 4.52 5.10    0    1     0     0     0
   13    1    0    0   13 4.21 4.31    1    0     0     0     0
    8    1    0    1   12 4.46 4.72    0    1     0     0     0
   15    1    0    1   12 3.78 3.93    0    1     0     0     0
    4    1    1    1   17 4.61 5.15    0    1     0     0     0
   19    0    0    1   12 4.07 4.20    1    0     0     0     0
   18    0    0    1   12 4.72 5.01    0    0     1     0     0
   24    1    1    1   12 4.85 5.16    0    0     1     0     0
    1    1    1    1   12 4.81 5.03    0    1     0     0     0
   26    0    1    1   12 4.37 5.18    0    1     0     0     0
   37    0    0    1   14 4.65 4.87    1    0     0     0     0
   39    0    0    1   12 4.94 5.23    0    0     1     0     0
   16    1    1    1   12 4.71 5.02    1    0     0     0     0
    4    1    1    1   12 4.90 5.24    0    0     1     0     0
   12    1    1    1   10 4.61 5.07    0    0     1     0     0
   36    1    0    1   16 3.82 4.69    0    0     1     0     0
   14    1    1    1   12 4.61 5.33    0    1     0     0     0
    1    1    0    1   10 3.41 3.78    1    0     0     0     0
    8    0    0    1   10 4.20 4.45    0    1     0     0     0
   15    1    1    1   12 5.00 5.41    0    0     0     1     0
   16    1    0    1   13 4.54 5.19    0    1     0     0     0
   21    1    0    1   12 3.95 4.28    1    0     0     0     0
    5    1    0    1   14 4.52 4.80    1    0     0     0     0
    8    0    0    1   10 4.35 4.74    0    1     0     0     0
    5    1    1    1   12 4.28 5.45    0    1     0     0     0
   18    0    1    1   12 4.97 5.32    0    0     0     1     0
   13    1    1    1   12 4.37 5.36    0    0     1     0     0
    3    1    0    1   14 4.88 5.37    0    1     0     0     0
   11    1    1    1   12 4.99 5.58    0    0     0     1     0
   21    0    1    1   14 3.92 4.35    0    1     0     0     0
   22    1    0    1   12 4.97 5.28    0    0     0     1     0
    2    1    0    1   16 4.24 4.56    0    1     0     0     0
    4    1    1    1   12 4.49 4.90    0    0     0     1     0
