pay     market.val   log.pay      val.decile
   4747452    1343.344   15.37312          6
   1797788     1349.63   14.40207          6
   1601071     1349.67   14.28618          6
   9951135    1355.516    16.1132          6
   1942820    1360.192   14.47965          6
   1703471    1362.687   14.34818          6
    959536    1365.092   13.77421          6
    542867    1365.836   13.20462          6
  16083805    1368.613   16.59332          6
   2674672    1370.843   14.79934          6
   4755212    1371.613   15.37475          6
   2555437      1372.4   14.75373          6
   5923746    1375.657   15.59448          6
   2610291    1376.336   14.77497          6
   6443542    1377.674   15.67859          6
   1689997    1381.866   14.34024          6
   8942628    1387.413   16.00634          6
   1543374    1392.387   14.24948          6
    652627    1398.906   13.38876          6
  16547424    1399.697   16.62174          6
   5426778    1400.288   15.50686          6
   4271518    1417.263   15.26748          6
   7534864    1423.202   15.83505          6
   1081594    1424.329   13.89395          6
   3624493    1426.499   15.10322          6
   1649534    1428.069     14.316          6
   3614136     1433.04   15.10036          6
   2244923      1436.2   14.62418          6
   6264608     1439.32   15.65043          6
   2757170    1451.495   14.82972          6
   4609315    1462.691   15.34359          6
   4402400      1463.2   15.29766          6
    391923     1465.57   12.87882          6
   3224229    1475.375    14.9862          6
   3050292     1476.06   14.93075          6
   1727079    1476.921   14.36194          6
    424840     1478.05   12.95947          6
   1197709    1479.397   13.99592          6
   1725600    1481.306   14.36108          6
   2634934    1483.398   14.78437          6
   1279531    1484.292     14.062          6
   3799013    1489.371   15.15025          6
   1474566    1495.594   14.20387          6
   1032606    1495.731    13.8476          6
